                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.75009,                0.47224,                  1.125,                0.85759,                0.75134,                0.83282,                0.61515,                 1.0457,                0.76081,                 1.2579,               0.001618,               0.001618,               0.001618
                    130,                0.75073,                 0.4667,                 1.1219,                0.85747,                0.75197,                0.83301,                0.61547,                 1.0457,                0.76108,                  1.258,               0.001552,               0.001552,               0.001552
                    131,                0.74474,                0.46594,                 1.1225,                0.85595,                0.75309,                0.83303,                0.61564,                 1.0456,                0.76129,                 1.2582,               0.001486,               0.001486,               0.001486
                    132,                 0.7417,                0.46154,                 1.1183,                 0.8539,                0.75536,                0.83331,                0.61588,                 1.0456,                0.76161,                 1.2583,                0.00142,                0.00142,                0.00142
                    133,                0.74047,                0.46182,                 1.1195,                 0.8533,                0.75577,                0.83344,                0.61613,                 1.0457,                0.76202,                 1.2585,               0.001354,               0.001354,               0.001354
                    134,                0.73704,                0.45686,                 1.1137,                0.85415,                0.75525,                0.83359,                0.61631,                 1.0457,                0.76249,                 1.2585,               0.001288,               0.001288,               0.001288
                    135,                0.73799,                0.45354,                 1.1131,                0.85376,                0.75607,                0.83379,                 0.6164,                 1.0458,                0.76291,                 1.2587,               0.001222,               0.001222,               0.001222
                    136,                0.72968,                0.44967,                 1.1111,                0.85323,                0.75621,                 0.8338,                0.61659,                 1.0458,                 0.7634,                 1.2589,               0.001156,               0.001156,               0.001156
                    137,                0.72928,                0.45003,                 1.1117,                0.85302,                0.75647,                0.83357,                 0.6167,                 1.0459,                0.76394,                 1.2591,                0.00109,                0.00109,                0.00109
                    138,                 0.7284,                0.44734,                 1.1073,                 0.8537,                0.75655,                0.83374,                0.61687,                 1.0459,                0.76405,                 1.2592,               0.001024,               0.001024,               0.001024
                    139,                0.72703,                0.44494,                 1.1034,                0.85396,                0.75655,                0.83368,                0.61704,                  1.046,                0.76444,                 1.2595,               0.000958,               0.000958,               0.000958
                    140,                0.72503,                0.44142,                 1.1073,                0.85393,                0.75662,                0.83383,                0.61722,                 1.0461,                0.76484,                 1.2597,               0.000892,               0.000892,               0.000892
                    141,                0.72941,                0.44246,                 1.1028,                0.85285,                0.75707,                0.83383,                0.61735,                 1.0461,                0.76515,                 1.2599,               0.000826,               0.000826,               0.000826
                    142,                0.72042,                0.43664,                 1.1038,                0.85335,                0.75683,                0.83375,                 0.6175,                 1.0462,                0.76557,                 1.2601,                0.00076,                0.00076,                0.00076
                    143,                0.71163,                0.43129,                 1.0999,                0.85307,                0.75704,                0.83395,                0.61756,                 1.0463,                0.76602,                 1.2604,               0.000694,               0.000694,               0.000694
                    144,                0.71122,                0.43427,                 1.1001,                0.85396,                0.75685,                0.83407,                0.61779,                 1.0465,                0.76635,                 1.2607,               0.000628,               0.000628,               0.000628
                    145,                0.70699,                0.42851,                 1.0945,                0.85343,                0.75751,                0.83414,                0.61779,                 1.0465,                0.76661,                 1.2608,               0.000562,               0.000562,               0.000562
                    146,                0.70833,                0.42758,                 1.0952,                0.85363,                0.75811,                0.83429,                0.61792,                 1.0466,                0.76699,                 1.2611,               0.000496,               0.000496,               0.000496
                    147,                0.70363,                0.42536,                 1.0941,                0.85296,                0.75932,                0.83433,                0.61806,                 1.0466,                0.76729,                 1.2613,                0.00043,                0.00043,                0.00043
                    148,                0.70782,                0.42611,                 1.0959,                0.85254,                0.75972,                0.83428,                0.61823,                 1.0467,                 0.7677,                 1.2615,               0.000364,               0.000364,               0.000364
                    149,                 0.6998,                0.42212,                 1.0887,                0.85389,                0.75869,                0.83432,                0.61836,                 1.0468,                0.76808,                 1.2618,               0.000298,               0.000298,               0.000298
                    150,                 0.7047,                0.42311,                 1.0913,                0.85265,                0.76018,                0.83437,                0.61835,                  1.047,                0.76824,                  1.262,               0.000232,               0.000232,               0.000232
